row,col,expected,actual,numeric_diff
61,22,1.86,3.46,-1.5999999999999999
61,23,1.17,1.0653,0.10470000000000002
61,24,172.72,133.16,39.56
61,25,321.88,461.2,-139.32
61,26,0,,
61,27,0,,
61,28,321.88,,
61,29,0.09,0.07,0.01999999999999999
61,30,0.17,0.25,-0.07999999999999999
61,31,0,,
61,32,0,,
61,33,0.17,,
62,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
62,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
62,5,1/27/2026,"January 27, 2026",
62,6,"1,031.33",1031.33,
62,16,Gas,,
62,18,Royalty Interest,ROYALTY INTEREST,
62,21,7/31/2025,Aug 25,
62,22,2.41,2.34,0.07000000000000028
62,23,1.18,1.0871,0.09289999999999998
62,24,139.91,-137.98,277.89
62,25,336.62,-322.91,659.53
62,26,0,,
62,27,0,,
62,28,336.62,,
62,29,0.08,-0.07,0.15000000000000002
62,30,0.18,-0.17,0.35
62,31,0,,
62,32,0,,
62,33,0.18,,
63,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
63,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
63,5,1/27/2026,"January 27, 2026",
63,6,"1,031.33",1031.33,
63,16,Gas,,
63,18,Royalty Interest,ROYALTY INTEREST,
63,21,4/30/2025,Aug 25,
63,22,3.42,2.34,1.08
63,23,1.2,1.0885,0.11149999999999993
63,24,71.4,147.63,-76.22999999999999
63,25,244,345.92,-101.92000000000002
63,26,0,,
63,27,0,,
63,28,244,,
63,29,0.04,0.08,-0.04
63,30,0.13,0.19,-0.06
63,31,0,,
63,32,0,,
63,33,0.13,,
64,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
64,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
64,5,1/27/2026,"January 27, 2026",
64,6,"1,031.33",1031.33,
64,16,Gas,,
64,18,Royalty Interest,ROYALTY INTEREST,
64,21,6/30/2025,Jan 25,
64,22,2.39,3.4,-1.0099999999999998
64,23,1.21,1.1277,0.08230000000000004
64,24,59.82,66.58,-6.759999999999998
64,25,143.19,226.25,-83.06
64,26,0,,
64,27,0,,
64,28,143.19,,
64,29,0.03,0.04,-0.010000000000000002
64,30,0.08,0.12,-0.039999999999999994
64,31,0,,
64,32,0,,
64,33,0.08,,
65,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
65,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
65,5,1/27/2026,"January 27, 2026",
65,6,"1,031.33",1031.33,
65,16,Gas,,
65,18,Royalty Interest,ROYALTY INTEREST,
65,21,11/30/2025,Nov 24,
65,22,3.34,1.86,1.4799999999999998
65,23,1.27,1.1713,0.09870000000000001
65,24,104.21,172.72,-68.51
65,25,348.16,321.88,26.28000000000003
65,26,0,,
65,27,0,,
65,28,348.16,,
65,29,0.06,0.09,-0.03
65,30,0.19,0.17,0.01999999999999999
65,31,0,,
65,32,0,,
65,33,0.19,,
66,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
66,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
66,5,1/27/2026,"January 27, 2026",
66,6,"1,031.33",1031.33,
66,16,Gas,,
66,18,Royalty Interest,ROYALTY INTEREST,
66,21,5/31/2025,Jul 25,
66,22,3.2,2.41,0.79
66,23,1.39,1.1767,0.21329999999999982
66,24,72.37,139.91,-67.53999999999999
66,25,231.73,336.62,-104.89000000000001
66,26,0,,
66,27,0,,
66,28,231.73,,
66,29,0.04,0.08,-0.04
66,30,0.12,0.18,-0.06
66,31,0,,
66,32,0,,
66,33,0.12,,
67,1,,"DIVERSIFIED PRODUCTION, LLC",
67,2,,WILSON-JOHNSON FAMILY LLC,
67,3,,1064941,
67,4,,5001502951,
67,5,,"January 27, 2026",
67,6,,1031.33,
67,7,,1200016.01,
67,8,,4703305872,
67,12,,GOODWIN 2V NORTH,
67,13,,WV,
67,14,,HARRISON,
67,18,,ROYALTY INTEREST,
67,19,,0.00053796,
67,20,,0.00053796,
67,21,,Apr 25,
67,22,,3.42,
67,23,,1.2039,
67,24,,71.4,
67,25,,244.0,
67,29,,0.04,
67,30,,0.13,
68,1,,"DIVERSIFIED PRODUCTION, LLC",
68,2,,WILSON-JOHNSON FAMILY LLC,
68,3,,1064941,
68,4,,5001502951,
68,5,,"January 27, 2026",
68,6,,1031.33,
68,7,,1200016.01,
68,8,,4703305872,
68,12,,GOODWIN 2V NORTH,
68,13,,WV,
68,14,,HARRISON,
68,18,,ROYALTY INTEREST,
68,19,,0.00053796,
68,20,,0.00053796,
68,21,,Jun 25,
68,22,,2.39,
68,23,,1.2106,
68,24,,59.82,
68,25,,143.19,
68,29,,0.03,
68,30,,0.08,
69,1,,"DIVERSIFIED PRODUCTION, LLC",
69,2,,WILSON-JOHNSON FAMILY LLC,
69,3,,1064941,
69,4,,5001502951,
69,5,,"January 27, 2026",
69,6,,1031.33,
69,7,,1200016.01,
69,8,,4703305872,
69,12,,GOODWIN 2V NORTH,
69,13,,WV,
69,14,,HARRISON,
69,18,,ROYALTY INTEREST,
69,19,,0.00053796,
69,20,,0.00053796,
69,21,,Nov 25,
69,22,,3.34,
69,23,,1.2692,
69,24,,104.21,
69,25,,348.16,
69,29,,0.06,
69,30,,0.19,
70,1,,"DIVERSIFIED PRODUCTION, LLC",
70,2,,WILSON-JOHNSON FAMILY LLC,
70,3,,1064941,
70,4,,5001502951,
70,5,,"January 27, 2026",
70,6,,1031.33,
70,7,,1200016.01,
70,8,,4703305872,
70,12,,GOODWIN 2V NORTH,
70,13,,WV,
70,14,,HARRISON,
70,18,,ROYALTY INTEREST,
70,19,,0.00053796,
70,20,,0.00053796,
70,21,,May 25,
70,22,,3.2,
70,23,,1.3934,
70,24,,72.37,
70,25,,231.73,
70,29,,0.04,
70,30,,0.12,
