Operator ID,Operator Name,Owner Name,Owner Number,Check Number,Check Date,Check Amount,Operator CC,Operator API,Partner API,MA API,Partner CC,Property Description,Property State,Property County,Product Code,Product Description,Interest Code,Interest Type,Owner Percent,Distribution Percent,Prod Date,Price,BTU Factor,Gross Volume,Gross Value,Gross Taxes,Gross Deducts,Net Value,Owner Gross Volume,Owner Gross Value,Owner Gross Taxes,Owner Gross Deducts,Owner Net Value
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1146940.01,4701703413,,,,SMITH J W 0458,WV,DODDRIDGE,,,,,,,,,,,,,,,,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1146950.01,4701703435,,,,SMITH J W 1608,WV,DODDRIDGE,,,1.2304,ROYALTY INTEREST,0.010176,4.0,Nov 25,1274.38,393.42,3.24,0.010176,,,,12.97,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1146952.01,4701703439,,,,SMITH J 1,WV,DODDRIDGE,,,1.249,ROYALTY INTEREST,0.010176,4.47,Nov 25,1445.91,439.71,3.29,0.010176,,,,14.71,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1146953.01,4701703441,,,,SMITH J W 1918,WV,DODDRIDGE,,,1.2309,ROYALTY INTEREST,0.010176,4.56,Nov 25,1450.85,447.72,3.24,0.010176,,,,14.76,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1146954.01,4701703442,,,,SMITH J W 1919,WV,DODDRIDGE,,,1.2304,ROYALTY INTEREST,0.010176,5.54,Nov 25,1764.57,544.74,3.24,0.010176,,,,17.96,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1146988.01,4701703534,,,,SMITH J W 6,WV,DODDRIDGE,,,1.2781,ROYALTY INTEREST,0.010176,3.77,Nov 25,1245.93,370.28,3.36,0.010176,,,,12.68,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1146995.01,4701703547,,,,WANSTREET J 7,WV,DODDRIDGE,,,1.2386,ROYALTY INTEREST,0.00243,0.43,Nov 25,571.7,175.35,3.26,0.00243,,,,1.39,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147192.01,4701705012,,,,PEARCY G L 14118,WV,DODDRIDGE,,,1.224,ROYALTY INTEREST,0.075,33.65,Nov 25,1445.4,448.61,3.22,0.075,,,,108.41,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147192.01,4701705012,,,,PEARCY G L 14118,WV,DODDRIDGE,,,,,,,,,,,,,,,,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147194.01,4701705019,,,,PEARCY G L 14117,WV,DODDRIDGE,,,1.2262,ROYALTY INTEREST,0.075,18.16,Nov 25,781.48,242.11,3.23,0.075,,,,58.61,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147197.01,4701705024,,,,OFFUTT EUGENE 7187,WV,DODDRIDGE,,,1.1475,ROYALTY INTEREST,0.01785715,2.53,Nov 25,427.55,141.53,3.02,0.01785715,,,,7.63,,,,
